event_key,event_date,event_time,event_status,event_type,tournament_key,tournament_name,tournament_round,tournament_season,player1_key,player1_name,player2_key,player2_name,winner,final_result,game_result,serve,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3,player1_set4,player2_set4,player1_set5,player2_set5
12144812,2026-07-11,04:30,Interrupted,Itf Men Singles,7429,M25+H Kassel,M25+H Kassel - Quarter-finals,2026,19218,I. Xilas,1322,M. Donald,,1 - 1,0 - 0,First Player,4,6,7,5,0,2,,,,
12144853,2026-07-11,07:00,,Atp Doubles,1380,Wimbledon,ATP Wimbledon - Final,2026,66044,Heliovaara/ Patten,62919,Arevalo/ Pavic,,-,-,,0,0,,,,,,,,
12144863,2026-07-11,05:00,,Challenger Men Doubles,2504,Braunschweig,Braunschweig - Semi-finals,2026,18503,Reymond/ Sanchez,104966,Demoliner/ Vocel,,-,-,,0,0,,,,,,,,
12144960,2026-07-11,06:00,,Itf Men Doubles,10134,M15 Kursumlijska Banja 8,M15 Kursumlijska Banja 8 - Semi-finals,2026,96069,Arzhankin/ Pankin,105085,Juhas/ Vukovic,,-,-,,0,0,,,,,,,,
12144967,2026-07-11,06:00,,Itf Women Doubles,14054,W100 Aschaffenburg (Germany),W100 Aschaffenburg - Semi-finals,2026,50527,Jakupovic/ Radisic,105113,Milovanovic/ Novak,,-,-,,0,0,,,,,,,,
12144972,2026-07-11,10:00,,Wta Singles,1379,Wimbledon,WTA Wimbledon - Final,2026,2807,K. Muchova,447,L. Noskova,,-,-,,0,0,,,,,,,,
12145035,2026-07-11,06:30,,Challenger Men Singles,12697,Nottingham 4,Nottingham 4 - Semi-finals,2026,7102,C. Chidekh,2110,A. Gray,,-,-,,0,0,,,,,,,,
12145036,2026-07-11,07:00,,Challenger Women Singles,3141,Bastad,Bastad - Final,2026,493,S. Waltert,2178,P. Badosa,,-,-,,0,0,,,,,,,,
12145037,2026-07-11,05:00,,Challenger Men Doubles,14048,Liege (Belgium),Liege - Final,2026,70190,Demanet/ Ratiu,104976,Betov/ Hsu,,-,-,,0,0,,,,,,,,
12145040,2026-07-11,01:00,,Itf Women Singles,12853,W15 Astana,W15 Astana - Semi-finals,2026,9256,E. Maklakova,9258,M. Sholokhova,,-,-,,0,0,,,,,,,,
12145041,2026-07-11,02:30,,Itf Women Singles,12853,W15 Astana,W15 Astana - Semi-finals,2026,10917,A. Sagandikova,27706,K. Yodpetch,,-,-,,0,0,,,,,,,,
12145042,2026-07-11,03:00,,Itf Women Singles,11267,W35 Buzau,W35 Buzau - Final,2026,34106,R. Dencheva,15563,J. Struplova,,-,-,,0,0,,,,,,,,
12145043,2026-07-11,02:30,,Itf Women Singles,11268,W35 Don Benito,W35 Don Benito - Semi-finals,2026,40065,M. Ercan,50406,V. Hruncakova,,-,-,,0,0,,,,,,,,
12145044,2026-07-11,02:30,,Itf Women Singles,11268,W35 Don Benito,W35 Don Benito - Semi-finals,2026,2295,M. Kubka,101,V. Ryser,,-,-,,0,0,,,,,,,,
12145045,2026-07-11,02:30,,Itf Women Singles,11248,W35 Hillcrest,W35 Hillcrest - Semi-finals,2026,65066,J. Hossam Salah,13324,A. Cirotte,,-,-,,0,0,,,,,,,,
12145046,2026-07-11,02:30,,Itf Women Singles,11248,W35 Hillcrest,W35 Hillcrest - Semi-finals,2026,77370,K. Smirnova,5264,P. Leykina,,-,-,,0,0,,,,,,,,
12145047,2026-07-11,00:00,,Itf Men Doubles,14051,M15 Tokyo 4 (Japan),M15 Tokyo 4 - Final,2026,65388,Kusuhara/ Nakagawa,85668,Ichikawa/ Noguchi,,-,-,,0,0,,,,,,,,
12145048,2026-07-11,04:00,,Itf Women Doubles,11270,W35 Don Benito,W35 Don Benito - Final,2026,105300,Lemaitre/ Tran,105254,Allen/ Berecoechea,,-,-,,0,0,,,,,,,,
12145049,2026-07-11,10:45,,Itf Men Singles,9861,M25 Roda de Bara,M25 Roda de Bara - Final,2026,10541,Y. Erel,945,O. Crawford,,-,-,,0,0,,,,,,,,
12145062,2026-07-11,06:30,,Girls Singles,2296,Wimbledon,Girls Wimbledon - Final,2026,82564,X. Sun,92497,A. Pushkareva,,-,-,,0,0,,,,,,,,
12145063,2026-07-11,08:00,,Boys Doubles,2297,Wimbledon,Boys Wimbledon - Final,2026,86014,Miguel/ Sesko,104926,Antonius/ Johnson,,-,-,,0,0,,,,,,,,
12145064,2026-07-11,06:30,,Girls Doubles,2298,Wimbledon,Girls Wimbledon - Final,2026,89813,Barros/ Leme Da Silva,103048,Kovackova/ Zajickova,,-,-,,0,0,,,,,,,,
12145065,2026-07-11,08:00,,Challenger Men Singles,2451,Braunschweig,Braunschweig - Semi-finals,2026,2002,F. Diaz Acosta,1102,H. Gaston,,-,-,,0,0,,,,,,,,
12145066,2026-07-11,06:30,,Challenger Men Singles,2451,Braunschweig,Braunschweig - Semi-finals,2026,657,D. Rincon,5979,J. Choinski,,-,-,,0,0,,,,,,,,
12145067,2026-07-11,08:30,,Challenger Women Doubles,3142,Bastad,Bastad - Final,2026,105021,Arango/ Waltert,76615,Barnett/ Lechemia,,-,-,,0,0,,,,,,,,
12145068,2026-07-11,05:00,,Challenger Men Doubles,3556,Trieste,Trieste - Final,2026,101083,Jans/ Whitehouse,80023,Kalender/ Serdarusic,,-,-,,0,0,,,,,,,,
12145069,2026-07-11,07:00,,Challenger Men Singles,3557,Trieste,Trieste - Semi-finals,2026,28615,M. Dodig,907,H. Squire,,-,-,,0,0,,,,,,,,
12145070,2026-07-11,08:00,,Challenger Men Singles,3589,Iasi,Iasi - Semi-finals,2026,367,Z. Piros,1304,J. Kym,,-,-,,0,0,,,,,,,,
12145072,2026-07-11,03:30,,Itf Men Singles,4262,M15 Monastir 26,M15 Monastir 26 - Semi-finals,2026,14315,T. Duran,26613,P. Barbier Gazeu,,-,-,,0,0,,,,,,,,
12145073,2026-07-11,03:30,,Itf Men Singles,4262,M15 Monastir 26,M15 Monastir 26 - Semi-finals,2026,798,A. Dougaz,82785,N. Robert,,-,-,,0,0,,,,,,,,
12145074,2026-07-11,06:00,,Itf Men Singles,4265,M25 The Hague,M25 The Hague - Semi-finals,2026,2516,J. Nicod,52069,A. Juan Mano,,-,-,,0,0,,,,,,,,
12145075,2026-07-11,04:30,,Itf Men Singles,4471,M15 Lodz,M15 Lodz - Semi-finals,2026,932,V. Orlov,991,I. Lopez Morillo,,-,-,,0,0,,,,,,,,
12145076,2026-07-11,03:00,,Itf Men Singles,4471,M15 Lodz,M15 Lodz - Semi-finals,2026,55587,L. Lagerbohm,20776,L. Rivera,,-,-,,0,0,,,,,,,,
12145077,2026-07-11,06:00,,Itf Men Doubles,4475,M15 Lodz,,2026,105092,Lagerbohm/ Wygona,105091,Berkieta/ Bojarski,,-,-,,0,0,,,,,,,,
12145078,2026-07-11,03:30,,Itf Women Singles,4903,W15 Monastir 21,W15 Monastir 21 - Semi-finals,2026,62334,Y. Perapekhina,9523,K. Wiersholm,,-,-,,0,0,,,,,,,,
12145079,2026-07-11,03:30,,Itf Women Singles,4903,W15 Monastir 21,W15 Monastir 21 - Semi-finals,2026,9252,C. Fontenel,22706,S. C. Rojas,,-,-,,0,0,,,,,,,,
12145080,2026-07-11,07:30,,Challenger Women Singles,7381,Contrexeville,Contrexeville - Semi-finals,2026,73460,J. Vandromme,170,A. Zantedeschi,,-,-,,0,0,,,,,,,,
12145081,2026-07-11,05:00,,Itf Men Doubles,7386,M15 Monastir 26,M15 Monastir 26 - Final,2026,105250,Ianin/ Mabrouk,105252,Jones/ Markov,,-,-,,0,0,,,,,,,,
12145082,2026-07-11,03:00,,Challenger Women Doubles,7402,Contrexeville,Contrexeville - Final,2026,100127,Cavalle-Reimers/ Pigossi,96388,Cascino/ Fossa Huergo,,-,-,,0,0,,,,,,,,
12145083,2026-07-11,05:00,,Itf Women Doubles,7411,W15 Monastir 21,W15 Monastir 21 - Final,2026,105264,Neporent/ Perapekhina,105258,Ezzat/ Mariani,,-,-,,0,0,,,,,,,,
12145084,2026-07-11,05:30,,Itf Men Singles,7429,M25+H Kassel,M25+H Kassel - Semi-finals,2026,7497,D. Recek,9110,M. Wiskandt,,-,-,,0,0,,,,,,,,
12145085,2026-07-11,04:00,,Itf Men Singles,10057,M15 Bucharest 2,M15 Bucharest 2 - Semi-finals,2026,62392,L. Talan Lopatic,67686,C. G. Papoe,,-,-,,0,0,,,,,,,,
12145086,2026-07-11,04:00,,Itf Men Singles,10057,M15 Bucharest 2,M15 Bucharest 2 - Semi-finals,2026,11114,I. Snitari,52609,F. Mazzola,,-,-,,0,0,,,,,,,,
12145087,2026-07-11,02:00,,Itf Men Doubles,10059,M15 Bucharest 2,M15 Bucharest 2 - Final,2026,83387,Ovcharenko/ Perin,62733,Andreescu/ Schinteie,,-,-,,0,0,,,,,,,,
12145088,2026-07-11,02:30,,Itf Men Singles,11247,M15 Hillcrest 2,M15 Hillcrest 2 - Semi-finals,2026,40363,K. Tyagi,786,K. Montsi,,-,-,,0,0,,,,,,,,
12145089,2026-07-11,02:30,,Itf Men Singles,11247,M15 Hillcrest 2,M15 Hillcrest 2 - Semi-finals,2026,40159,O. Shimanov,51278,C. Robertson,,-,-,,0,0,,,,,,,,
12145090,2026-07-11,03:30,,Itf Men Doubles,11249,M15 Hillcrest 2,M15 Hillcrest 2 - Final,2026,14503,Badenhorst/ Koenig,100896,Perego/ Piatti,,-,-,,0,0,,,,,,,,
12145091,2026-07-11,05:00,,Itf Women Doubles,11250,W35 Hillcrest,W35 Hillcrest - Final,2026,104743,Cirotte/ Duerst,104744,Leykina/ Smirnova,,-,-,,0,0,,,,,,,,
12145092,2026-07-11,07:00,,Itf Women Singles,11285,W50 Corroios-Seixal,W50 Corroios-Seixal - Semi-finals,2026,38097,H. Shi,1305,X. Gao,,-,-,,0,0,,,,,,,,
12145093,2026-07-11,05:30,,Itf Women Singles,11285,W50 Corroios-Seixal,W50 Corroios-Seixal - Semi-finals,2026,38969,C. Y. Lee,1410,F. Jorge,,-,-,,0,0,,,,,,,,
12145094,2026-07-11,04:00,,Itf Women Doubles,11286,W50 Corroios-Seixal,W50 Corroios-Seixal - Final,2026,105158,Lukosiute/ Tse,105138,Garcia/ Ivantsiv,,-,-,,0,0,,,,,,,,
12145095,2026-07-11,05:00,,Itf Women Singles,11287,W75 The Hague,W75 The Hague - Semi-finals,2026,161,L. Boskovic,155,L. Karatancheva,,-,-,,0,0,,,,,,,,
12145096,2026-07-11,08:00,,Challenger Men Singles,12697,Nottingham 4,Nottingham 4 - Semi-finals,2026,38784,H. Searle,13535,M. Basing,,-,-,,0,0,,,,,,,,
12145097,2026-07-11,05:00,,Challenger Men Doubles,12702,Nottingham 4,Nottingham 4 - Final,2026,78201,Hands/ Summers,62594,Azkara/ Ozdemir,,-,-,,0,0,,,,,,,,
12145098,2026-07-11,03:00,,Itf Women Singles,12837,W15 Luan 4,W15 Luan 4 - Semi-finals,2026,61314,M. Kalyakina,14560,A. Tikhonova,,-,-,,0,0,,,,,,,,
12145099,2026-07-11,03:00,,Itf Women Singles,12837,W15 Luan 4,W15 Luan 4 - Semi-finals,2026,70300,S. Y. Cheuk,13990,I. Yamazaki,,-,-,,0,0,,,,,,,,
12145100,2026-07-11,00:30,,Itf Women Doubles,12838,W15 Luan 4,W15 Luan 4 - Final,2026,104254,Desvignes/ Thamchaiwat,70278,Choi/ Lee,,-,-,,0,0,,,,,,,,
12145101,2026-07-11,05:00,,Itf Women Doubles,12841,W15 Astana,W15 Astana - Final,2026,87586,Arystanbekova/ Dyussebay,105219,Jang/ Sholokhova,,-,-,,0,0,,,,,,,,
12145102,2026-07-11,06:30,,Challenger Men Singles,14047,Liege (Belgium) - Qualification,Liege - Semi-finals,2026,370,L. Giustino,1209,M. Damas,,-,-,,0,0,,,,,,,,
12145103,2026-07-11,05:00,,Itf Men Doubles,14052,M15 Wuning 5 (China),M15 Wuning 5 - Final,2026,74183,Yang/ Zeng,92159,Rifqi Fitriadi/ Lee,,-,-,,0,0,,,,,,,,
12145104,2026-07-11,08:00,,Itf Women Singles,14053,W100 Aschaffenburg (Germany),W100 Aschaffenburg - Semi-finals,2026,13987,A. Sobolieva,14150,J. Avdeeva,,-,-,,0,0,,,,,,,,
12145105,2026-07-11,10:30,,Itf Women Singles,14053,W100 Aschaffenburg (Germany),W100 Aschaffenburg - Semi-finals,2026,491,E. Gorgodze,52707,T. Kostovic,,-,-,,0,0,,,,,,,,
12145108,2026-07-11,03:00,,Atp Singles,1527,Gstaad,,2026,1746,M. Huesler,9362,E. Butvilas,,-,-,,0,0,,,,,,,,
12145109,2026-07-11,03:00,,Atp Singles,1527,Gstaad,,2026,1762,C. Tabur,7012,H. Jebens,,-,-,,0,0,,,,,,,,
12145110,2026-07-11,04:30,,Atp Singles,1527,Gstaad,,2026,1074,T. Monteiro,1748,P. Herbert,,-,-,,0,0,,,,,,,,
12145111,2026-07-11,05:00,,Atp Singles,1527,Gstaad,,2026,582,D. Michalski,1206,C. Hemery,,-,-,,0,0,,,,,,,,
12145112,2026-07-11,06:00,,Atp Singles,1527,Gstaad,,2026,767,O. Virtanen,10865,D. Dietrich,,-,-,,0,0,,,,,,,,
12145113,2026-07-11,06:30,,Atp Singles,1527,Gstaad,,2026,38264,F. Cina,5791,P. Zahraj,,-,-,,0,0,,,,,,,,
12145114,2026-07-11,07:30,,Atp Singles,1527,Gstaad,,2026,54470,M. Dhamne,1899,V. Sachko,,-,-,,0,0,,,,,,,,
12145115,2026-07-11,08:00,,Atp Singles,1527,Gstaad,,2026,362,T. Skatov,9956,A. Chandrasekar,,-,-,,0,0,,,,,,,,
12145116,2026-07-11,08:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,35252,A. Aslanisvili,9246,M. Sieg,,-,-,,0,0,,,,,,,,
12145117,2026-07-11,08:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,147,M. Hodzic,38680,H-C. Chan,,-,-,,0,0,,,,,,,,
12145118,2026-07-11,08:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,77247,E. Tsetsou,42,Y. Mansouri,,-,-,,0,0,,,,,,,,
12145119,2026-07-11,09:30,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,10904,E. Micic,4310,M. Ninomiya,,-,-,,0,0,,,,,,,,
12145120,2026-07-11,09:30,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,90410,M. Rentoumi,22868,M. Tona,,-,-,,0,0,,,,,,,,
12145121,2026-07-11,09:30,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,1987,E. Yashina,1829,L. Glushko,,-,-,,0,0,,,,,,,,
12145122,2026-07-11,11:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,72,V. Morvayova,2116,F. Sziedat,,-,-,,0,0,,,,,,,,
12145123,2026-07-11,11:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,105303,A. Panagiotidou,458,A. Kulikova,,-,-,,0,0,,,,,,,,
12145124,2026-07-11,11:00,,Wta Singles,14061,Athens (Greece) - Qualification,,2026,9104,Q. Tang,62081,E. Nepliy,,-,-,,0,0,,,,,,,,
12145125,2026-07-11,10:00,,Challenger Men Singles,2525,Bogota,Bogota - Semi-finals,2026,9035,M. Soto,1856,L. Claverie,,-,-,,0,0,,,,,,,,
12145126,2026-07-11,10:00,,Challenger Men Singles,3589,Iasi,Iasi - Semi-finals,2026,954,V. Royer,8926,T. Droguet,,-,-,,0,0,,,,,,,,
12145127,2026-07-11,08:00,,Challenger Men Singles,14047,Liege (Belgium) - Qualification,Liege - Semi-finals,2026,15199,F. Broska,1205,K. Coppejans,,-,-,,0,0,,,,,,,,
12145128,2026-07-11,13:00,,Challenger Men Singles,12698,Newport,Newport - Semi-finals,2026,10070,A. Walton,10884,A. Michelsen,,-,-,,0,0,,,,,,,,
12145129,2026-07-11,09:30,,Challenger Women Singles,7381,Contrexeville,Contrexeville - Semi-finals,2026,510,M. Sherif,9118,L. Jeanjean,,-,-,,0,0,,,,,,,,
12145130,2026-07-11,04:30,,Itf Men Singles,10133,M15 Kursumlijska Banja 8,M15 Kursumlijska Banja 8 - Semi-finals,2026,52882,O. Milic,59634,N. Arsic,,-,-,,0,0,,,,,,,,
12145131,2026-07-11,05:00,,Itf Men Singles,14050,M15 Wuning 5 (China),M15 Wuning 5 - Semi-finals,2026,2216,A. Nordquist,59061,N. Koizumi,,-,-,,0,0,,,,,,,,
12145132,2026-07-11,05:00,,Itf Men Singles,14050,M15 Wuning 5 (China),M15 Wuning 5 - Semi-finals,2026,66327,H. Roh,1937,M. Borisiouk,,-,-,,0,0,,,,,,,,
12145133,2026-07-11,11:00,,Itf Men Singles,14055,M25 Bastia-Lucciana +H (France),M25 Bastia-Lucciana +H - Semi-finals,2026,2105,F. Bax,1076,L. Lokoli,,-,-,,0,0,,,,,,,,
12145134,2026-07-11,11:00,,Itf Men Singles,14055,M25 Bastia-Lucciana +H (France),M25 Bastia-Lucciana +H - Semi-finals,2026,2023,A. Weis,58961,Y. Ghazouani Durand,,-,-,,0,0,,,,,,,,
12145135,2026-07-11,11:00,,Itf Men Singles,7369,"M25 Dallas, TX","M25 Dallas, TX - Semi-finals",2026,52663,T. Svajda,578,E. Zhu,,-,-,,0,0,,,,,,,,
12145136,2026-07-11,08:00,,Itf Men Singles,4265,M25 The Hague,M25 The Hague - Semi-finals,2026,55032,Y. Kelm,1955,L. Wessels,,-,-,,0,0,,,,,,,,
12145137,2026-07-11,03:00,,Itf Women Singles,10067,W15 Kursumlijska Banja 8,W15 Kursumlijska Banja 8 - Semi-finals,2026,13074,A. Karunaratne,60799,K. Supova,,-,-,,0,0,,,,,,,,
12145138,2026-07-11,03:00,,Itf Women Singles,10067,W15 Kursumlijska Banja 8,W15 Kursumlijska Banja 8 - Semi-finals,2026,52257,A. Stankovic,13500,E. Tomase,,-,-,,0,0,,,,,,,,
12145139,2026-07-11,09:00,,Itf Women Singles,14056,W50 Columbus,"W50 Columbus, OH - Semi-finals",2026,479,R. Marino,32553,J. Pareja,,-,-,,0,0,,,,,,,,
12145140,2026-07-11,06:30,,Itf Women Singles,11287,W75 The Hague,W75 The Hague - Semi-finals,2026,52683,A. Kovackova,2277,E. Vedder,,-,-,,0,0,,,,,,,,
12145141,2026-07-11,08:30,,Itf Men Doubles,7431,M25+H Kassel,M25+H Kassel - Final,2026,54934,Recek/ Siniakov,104677,Ganta/  Shah,,-,-,,0,0,,,,,,,,
12145142,2026-07-11,08:30,,Itf Men Doubles,4274,M25 The Hague,M25 The Hague - Final,2026,57090,Bozemoj/ Pel,86156,Visser/ Wagenaar,,-,-,,0,0,,,,,,,,
12145143,2026-07-11,05:00,,Itf Women Doubles,11291,W75 The Hague,W75 The Hague - Final,2026,105143,Brancaccio/ Urgesi,81076,Du Pree/ Van Emst,,-,-,,0,0,,,,,,,,
12145146,2026-07-11,10:00,,Challenger Women Singles,12699,Newport,Newport - Semi-finals,2026,12716,M. Sawangkaew,2414,T. Maria,,-,-,,0,0,,,,,,,,
12145147,2026-07-11,10:00,,Challenger Men Doubles,12703,Newport,Newport - Semi-finals,2026,80728,Romboli/ Smith,3023,Lammons/ Withrow,,-,-,,0,0,,,,,,,,
12145148,2026-07-11,13:00,,Challenger Women Doubles,12704,Newport,Newport - Quarter-finals,2026,96156,Broadus/ Collins,41405,Sawangkaew/ Wong Hong Yi,,-,-,,0,0,,,,,,,,
12145149,2026-07-11,12:00,,Challenger Men Singles,2525,Bogota,Bogota - Semi-finals,2026,7641,N. Mejia,391,J. P. Varillas,,-,-,,0,0,,,,,,,,
12145150,2026-07-11,13:30,,Challenger Men Doubles,2527,Bogota,Bogota - Final,2026,105014,Escobar/ Mena,86793,Soto/ Zeballos,,-,-,,0,0,,,,,,,,
12145151,2026-07-11,09:30,,Challenger Men Singles,3557,Trieste,Trieste - Semi-finals,2026,57540,H. Bernet,2980,H. Dellien,,-,-,,0,0,,,,,,,,
12145152,2026-07-11,11:00,,Itf Men Singles,7369,"M25 Dallas, TX","M25 Dallas, TX - Semi-finals",2026,56781,G. Young,9381,A. Kim,,-,-,,0,0,,,,,,,,
12145153,2026-07-11,07:00,,Itf Women Doubles,10070,W15 Kursumlijska Banja 8,W15 Kursumlijska Banja 8 - Final,2026,105122,Jialin/ Miskovic,105239,Kovacevic/ Stankovic,,-,-,,0,0,,,,,,,,
12145154,2026-07-11,04:30,,Itf Men Singles,10133,M15 Kursumlijska Banja 8,M15 Kursumlijska Banja 8 - Semi-finals,2026,90113,A. Fabre,86675,A. Arzhankin,,-,-,,0,0,,,,,,,,
12145155,2026-07-11,10:00,,Itf Women Singles,11094,W15 Rio Claro,W15 Rio Claro - Semi-finals,2026,52392,L. Fullana,78136,M. Souza,,-,-,,0,0,,,,,,,,
12145156,2026-07-11,09:00,,Itf Women Singles,11094,W15 Rio Claro,W15 Rio Claro - Semi-finals,2026,492,O. Babel,19896,J. G. Gerald Gonzalez,,-,-,,0,0,,,,,,,,
12145157,2026-07-11,10:00,,Itf Men Singles,12689,M15 San Salvador de Jujuy,M15 San Salvador de Jujuy - Semi-finals,2026,9602,T. Cigarran,65990,C. M. Zarate,,-,-,,0,0,,,,,,,,
12145158,2026-07-11,08:30,,Itf Men Singles,12689,M15 San Salvador de Jujuy,M15 San Salvador de Jujuy - Semi-finals,2026,54079,J. Estevez,38832,J. Aguilar Cardozo,,-,-,,0,0,,,,,,,,
12145159,2026-07-11,11:30,,Challenger Women Singles,12699,Newport,Newport - Semi-finals,2026,2191,G. Minnen,2826,K. Volynets,,-,-,,0,0,,,,,,,,
12145160,2026-07-11,09:00,,Itf Women Singles,14056,W50 Columbus,"W50 Columbus, OH - Semi-finals",2026,1399,S. Hosogi,13521,S. Daavettila,,-,-,,0,0,,,,,,,,
12145161,2026-07-11,11:00,,Itf Women Doubles,14058,W50 Columbus,"W50 Columbus, OH - Final",2026,82126,Akli/ El Jardi,97117,Hrastar/ Mulville,,-,-,,0,0,,,,,,,,
12145162,2026-07-11,10:00,,Atp Singles,1201,Umag,,2026,1095,M. Cecchinato,392,D. Ajdukovic,,-,-,,0,0,,,,,,,,
12145163,2026-07-11,10:00,,Atp Singles,1201,Umag,,2026,386,L. Nardi,853,A. Guerrieri,,-,-,,0,0,,,,,,,,
12145164,2026-07-11,10:00,,Atp Singles,1201,Umag,,2026,833,M. Topo,1338,P. Martin Tiffon,,-,-,,0,0,,,,,,,,
12145165,2026-07-11,10:00,,Atp Singles,1201,Umag,,2026,39930,N. Vukadin,2407,G. A. Olivieri,,-,-,,0,0,,,,,,,,
12145166,2026-07-11,11:30,,Atp Singles,1201,Umag,,2026,1873,R. Brancaccio,717,F. A. Gomez,,-,-,,0,0,,,,,,,,
12145167,2026-07-11,11:30,,Atp Singles,1201,Umag,,2026,397,N. Gombos,591,N. Sanchez Izquierdo,,-,-,,0,0,,,,,,,,
12145168,2026-07-11,11:30,,Atp Singles,1201,Umag,,2026,2022,L. Neumayer,943,M. Poljicak,,-,-,,0,0,,,,,,,,
12145169,2026-07-11,11:30,,Atp Singles,1201,Umag,,2026,21704,J. C. Prado Angelo,52681,M. Majdandzic,,-,-,,0,0,,,,,,,,
12145170,2026-07-11,11:30,,Challenger Men Doubles,12703,Newport,Newport - Semi-finals,2026,88901,Isaro/ Kaliyanda Poonacha,58525,Reynolds/ Watt,,-,-,,0,0,,,,,,,,
12145171,2026-07-11,10:00,,Itf Men Singles,9865,M25 Laval,M25 Laval - Semi-finals,2026,38846,K. Rice,69562,J. D. Hara Friend,,-,-,,0,0,,,,,,,,
12145172,2026-07-11,12:30,,Itf Men Doubles,7371,"M25 Dallas, TX","M25 Dallas, TX - Final",2026,105192,Cox/ Gonzalez Fitzmaurice,93071,Leroux/ Manning,,-,-,,0,0,,,,,,,,
12145173,2026-07-11,12:00,,Challenger Women Doubles,12704,Newport,Newport - Quarter-finals,2026,90705,Kobori/ Plipuech,105003,Brantmeier/ Corley,,-,-,,,,,,,,,,,
12145174,2026-07-11,14:30,,Challenger Men Singles,12698,Newport,Newport - Semi-finals,2026,557,A. Galarneau,12951,J. Fearnley,,-,-,,,,,,,,,,,
12145175,2026-07-11,11:30,,Itf Men Singles,9865,M25 Laval,M25 Laval - Semi-finals,2026,10873,K. Miyoshi,916,T. Legout,,-,-,,,,,,,,,,,
12145176,2026-07-11,12:00,,Itf Men Doubles,12690,M15 San Salvador de Jujuy,M15 San Salvador de Jujuy - Final,2026,105269,Kohlmann/ Zarate,63685,Aguilar Cardozo/ Aguilar Cardozo,,-,-,,,,,,,,,,,
12145177,2026-07-11,13:00,,Itf Men Doubles,9866,M25 Laval,M25 Laval - Final,2026,35358,Chan/ Rice,105031,Hara Friend/ Rozin,,-,-,,,,,,,,,,,
12145178,2026-07-11,08:00,,Teams Men,2734,Davis Cup - Group IV Teams,,2026,30294,Aruba,11443,Cuba,,-,-,,,,,,,,,,,
12145179,2026-07-11,08:00,,Teams Men,2734,Davis Cup - Group IV Teams,,2026,11446,Trinidad & Tobago,11438,United States Virgin Islands,,-,-,,,,,,,,,,,
12145180,2026-07-11,08:00,,Teams Men,2734,Davis Cup - Group IV Teams,,2026,87487,Suriname,11441,Honduras,,-,-,,,,,,,,,,,
12145181,2026-07-11,12:00,,Itf Men Singles,7180,"M15 Rancho Santa Fe, CA",,2026,2851,S. Johnson,54520,S. Klaassen,,-,-,,,,,,,,,,,
12145182,2026-07-11,13:30,,Itf Men Singles,7180,"M15 Rancho Santa Fe, CA",,2026,55504,E. van Loben Sels,53791,N. Zamora,,-,-,,,,,,,,,,,
12145183,2026-07-11,15:00,,Itf Men Doubles,7181,"M15 Rancho Santa Fe, CA",,2026,105288,Johnston/ Weber,104763,Chang/ Klaassen,,-,-,,,,,,,,,,,
12145184,2026-07-11,12:00,,Itf Women Singles,7182,"W15 Rancho Santa Fe, CA",,2026,40122,V. Miroshnichenko,15319,M. Malkin,,-,-,,,,,,,,,,,
12145185,2026-07-11,13:30,,Itf Women Singles,7182,"W15 Rancho Santa Fe, CA",,2026,9255,A. Shcherbinina,84315,J. Chan,,-,-,,,,,,,,,,,
12145186,2026-07-11,15:00,,Itf Women Doubles,7183,"W15 Rancho Santa Fe, CA",,2026,105199,Bernales/ Webster,105280,Miroshnichenko/ Sahdiieva,,-,-,,,,,,,,,,,
12145187,2026-07-11,11:30,,Itf Women Doubles,11095,W15 Rio Claro,,2026,30658,Candiotto/ Fullana,103238,Konishi Silva/ Pereira,,-,-,,,,,,,,,,,
